shape_id,scale,RCS_rel_dB,delta_vs_1p0x_dB,material
sphere_small,0.8,-21.403676525546913,-1.9382002601611248,baseline_plastic
sphere_small,1.0,-19.46547626538579,0.0,baseline_plastic
sphere_small,1.2,-17.881851344433294,1.583624920952495,baseline_plastic
cylinder_micro,0.8,1.7839111006972104,-1.9382002601611283,baseline_plastic
cylinder_micro,1.0,3.7221113608583387,0.0,baseline_plastic
cylinder_micro,1.2,5.305736281810836,1.5836249209524969,baseline_plastic
flat_plate,0.8,1.7635733163580776,-3.876400520322254,baseline_plastic
flat_plate,1.0,5.639973836680332,0.0,baseline_plastic
flat_plate,1.2,8.807223678585325,3.1672498419049937,baseline_plastic
faceted_shell,0.8,-7.267326553561357,-3.876400520322254,baseline_plastic
faceted_shell,1.0,-3.3909260332391034,0.0,baseline_plastic
faceted_shell,1.2,-0.22367619133411043,3.167249841904993,baseline_plastic
