path,model,hit,max_conf
data\images_eval\antiuav_vis\20190925_101846_1_1\000001.jpg,yoloworld,1,0.1269
data\images_eval\antiuav_vis\20190925_101846_1_1\000021.jpg,yoloworld,1,0.1428
data\images_eval\antiuav_vis\20190925_101846_1_1\000041.jpg,yoloworld,1,0.0299
data\images_eval\antiuav_vis\20190925_101846_1_1\000061.jpg,yoloworld,1,0.1365
data\images_eval\antiuav_vis\20190925_101846_1_1\000081.jpg,yoloworld,1,0.0764
data\images_eval\antiuav_vis\20190925_101846_1_1\000101.jpg,yoloworld,1,0.0509
data\images_eval\antiuav_vis\20190925_101846_1_1\000121.jpg,yoloworld,1,0.0332
data\images_eval\antiuav_vis\20190925_101846_1_1\000141.jpg,yoloworld,1,0.0512
data\images_eval\antiuav_vis\20190925_101846_1_1\000161.jpg,yoloworld,1,0.014
data\images_eval\antiuav_vis\20190925_101846_1_1\000181.jpg,yoloworld,1,0.0396
data\images_eval\antiuav_vis\20190925_101846_1_1\000201.jpg,yoloworld,1,0.0603
data\images_eval\antiuav_vis\20190925_101846_1_1\000221.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000241.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000261.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000281.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000301.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000321.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000341.jpg,yoloworld,1,0.0037
data\images_eval\antiuav_vis\20190925_101846_1_1\000361.jpg,yoloworld,1,0.0037
data\images_eval\antiuav_vis\20190925_101846_1_1\000381.jpg,yoloworld,1,0.0037
data\images_eval\antiuav_vis\20190925_101846_1_1\000401.jpg,yoloworld,1,0.0149
data\images_eval\antiuav_vis\20190925_101846_1_1\000421.jpg,yoloworld,1,0.0064
data\images_eval\antiuav_vis\20190925_101846_1_1\000441.jpg,yoloworld,1,0.0255
data\images_eval\antiuav_vis\20190925_101846_1_1\000461.jpg,yoloworld,1,0.0034
data\images_eval\antiuav_vis\20190925_101846_1_1\000481.jpg,yoloworld,1,0.0099
data\images_eval\antiuav_vis\20190925_101846_1_1\000501.jpg,yoloworld,1,0.0554
data\images_eval\antiuav_vis\20190925_101846_1_1\000521.jpg,yoloworld,1,0.0016
data\images_eval\antiuav_vis\20190925_101846_1_1\000541.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000561.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000581.jpg,yoloworld,1,0.01
data\images_eval\antiuav_vis\20190925_101846_1_1\000601.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000621.jpg,yoloworld,1,0.0079
data\images_eval\antiuav_vis\20190925_101846_1_1\000641.jpg,yoloworld,1,0.0105
data\images_eval\antiuav_vis\20190925_101846_1_1\000661.jpg,yoloworld,1,0.003
data\images_eval\antiuav_vis\20190925_101846_1_1\000681.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000701.jpg,yoloworld,1,0.0042
data\images_eval\antiuav_vis\20190925_101846_1_1\000721.jpg,yoloworld,1,0.0026
data\images_eval\antiuav_vis\20190925_101846_1_1\000741.jpg,yoloworld,1,0.0247
data\images_eval\antiuav_vis\20190925_101846_1_1\000761.jpg,yoloworld,1,0.0016
data\images_eval\antiuav_vis\20190925_101846_1_1\000781.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000801.jpg,yoloworld,1,0.0138
data\images_eval\antiuav_vis\20190925_101846_1_1\000821.jpg,yoloworld,1,0.0392
data\images_eval\antiuav_vis\20190925_101846_1_1\000841.jpg,yoloworld,0,0.0
data\images_eval\antiuav_vis\20190925_101846_1_1\000861.jpg,yoloworld,1,0.0022
data\images_eval\antiuav_vis\20190925_101846_1_1\000881.jpg,yoloworld,1,0.0779
data\images_eval\antiuav_vis\20190925_101846_1_1\000901.jpg,yoloworld,1,0.0882
data\images_eval\antiuav_vis\20190925_101846_1_1\000921.jpg,yoloworld,1,0.0357
data\images_eval\antiuav_vis\20190925_101846_1_1\000941.jpg,yoloworld,1,0.0183
