time_s,frame,hit,max_conf
0.0,0,0,0.0
0.5,15,0,0.0
1.0,30,0,0.0
1.5,45,0,0.0
2.0,60,0,0.0
2.5,75,0,0.0
3.0,90,0,0.0
3.5,105,0,0.0
4.0,120,0,0.0
4.5,135,0,0.0
5.0,150,0,0.0
5.5,165,0,0.0
6.0,180,0,0.0
6.5,195,0,0.0
7.0,210,0,0.0
7.5,225,0,0.0
8.0,240,0,0.0
8.5,255,0,0.0
9.0,270,0,0.0
9.5,285,0,0.0
10.0,300,0,0.0
10.5,315,0,0.0
11.0,330,0,0.0
11.5,345,0,0.0
12.0,360,0,0.0
12.5,375,0,0.0
13.0,390,0,0.0
13.5,405,0,0.0
14.0,420,0,0.0
14.5,435,0,0.0
15.0,450,0,0.0
15.5,465,0,0.0
16.0,480,0,0.0
16.5,495,0,0.0
17.0,510,0,0.0
17.5,525,0,0.0
18.0,540,0,0.0
18.5,555,0,0.0
19.0,570,0,0.0
19.5,585,0,0.0
20.0,600,0,0.0
20.5,615,0,0.0
21.0,630,0,0.0
21.5,645,0,0.0
22.0,660,0,0.0
22.5,675,0,0.0
23.0,690,0,0.0
23.5,705,0,0.0
24.0,720,0,0.0
24.5,735,0,0.0
