time_s,frame,hit,max_conf
0.0,0,1,0.0664
0.5,15,1,0.0078
1.0,30,1,0.0962
1.5,45,1,0.0048
2.0,60,1,0.0015
2.5,75,1,0.0079
3.0,90,1,0.7599
3.5,105,1,0.6512
4.0,120,1,0.5093
4.5,135,1,0.2664
5.0,150,1,0.1951
5.5,165,1,0.2633
6.0,180,1,0.3945
6.5,195,1,0.2293
7.0,210,1,0.132
7.5,225,1,0.0393
8.0,240,1,0.0254
8.5,255,1,0.0693
9.0,270,1,0.0258
9.5,285,1,0.028
10.0,300,1,0.0392
10.5,315,1,0.0249
11.0,330,1,0.0588
11.5,345,1,0.0245
12.0,360,1,0.0387
12.5,375,1,0.0152
13.0,390,1,0.045
13.5,405,1,0.0186
14.0,420,1,0.0125
14.5,435,1,0.0327
15.0,450,1,0.0378
15.5,465,1,0.0057
16.0,480,1,0.0104
16.5,495,0,0.0
17.0,510,1,0.0155
17.5,525,1,0.0105
18.0,540,1,0.0132
18.5,555,1,0.0015
19.0,570,0,0.0
19.5,585,0,0.0
20.0,600,0,0.0
20.5,615,0,0.0
21.0,630,0,0.0
21.5,645,0,0.0
22.0,660,0,0.0
22.5,675,0,0.0
23.0,690,0,0.0
23.5,705,0,0.0
24.0,720,0,0.0
24.5,735,0,0.0
