shape_id,scale,RCS_rel_dB,delta_vs_1p0x_dB,material
sphere_small,0.8,-27.403676525546917,-1.9382002601611283,rf_absorb_foam_light
sphere_small,1.0,-25.46547626538579,0.0,rf_absorb_foam_light
sphere_small,1.2,-23.881851344433294,1.583624920952495,rf_absorb_foam_light
cylinder_micro,0.8,-4.21608889930279,-1.9382002601611288,rf_absorb_foam_light
cylinder_micro,1.0,-2.277888639141661,0.0,rf_absorb_foam_light
cylinder_micro,1.2,-0.6942637181891647,1.5836249209524962,rf_absorb_foam_light
flat_plate,0.8,-4.236426683641922,-3.876400520322254,rf_absorb_foam_light
flat_plate,1.0,-0.3600261633196684,0.0,rf_absorb_foam_light
flat_plate,1.2,2.807223678585325,3.1672498419049933,rf_absorb_foam_light
faceted_shell,0.8,-13.267326553561357,-3.876400520322255,rf_absorb_foam_light
faceted_shell,1.0,-9.390926033239102,0.0,rf_absorb_foam_light
faceted_shell,1.2,-6.22367619133411,3.167249841904993,rf_absorb_foam_light
